ensembl	gene_name	entrez
ENSG00000000003	TSPAN6	7105.0
ENSG00000000005	TNMD	64102.0
ENSG00000000419	DPM1	8813.0
ENSG00000000457	SCYL3	57147.0
ENSG00000000460	FIRRM	55732.0
ENSG00000000938	FGR	2268.0
ENSG00000000971	CFH	3075.0
ENSG00000001036	FUCA2	2519.0
ENSG00000001084	GCLC	2729.0
ENSG00000001167	NFYA	4800.0
ENSG00000001460	STPG1	90529.0
ENSG00000001461	NIPAL3	57185.0
ENSG00000001497	LAS1L	81887.0
ENSG00000001561	ENPP4	22875.0
ENSG00000001617	SEMA3F	6405.0
ENSG00000001626	CFTR	1080.0
ENSG00000001629	ANKIB1	54467.0
ENSG00000001630	CYP51A1	1595.0
ENSG00000001631	KRIT1	889.0
ENSG00000002016	RAD52	5893.0
ENSG00000002330	BAD	572.0
ENSG00000002549	LAP3	51056.0
ENSG00000002586	CD99	4267.0
ENSG00000002587	HS3ST1	9957.0
ENSG00000002726	AOC1	26.0
ENSG00000002745	WNT16	51384.0
ENSG00000002746	HECW1	23072.0
ENSG00000002822	MAD1L1	8379.0
ENSG00000002834	LASP1	3927.0
ENSG00000002919	SNX11	29916.0
ENSG00000002933	TMEM176A	55365.0
ENSG00000003056	M6PR	4074.0
ENSG00000003096	KLHL13	90293.0
ENSG00000003137	CYP26B1	56603.0
ENSG00000003147	ICA1	3382.0
ENSG00000003249	DBNDD1	79007.0
ENSG00000003393	ALS2	57679.0
ENSG00000003400	CASP10	843.0
ENSG00000003402	CFLAR	8837.0
ENSG00000003436	TFPI	7035.0
ENSG00000003509	NDUFAF7	55471.0
ENSG00000003756	RBM5	10181.0
ENSG00000003987	MTMR7	9108.0
ENSG00000003989	SLC7A2	6542.0
ENSG00000004059	ARF5	381.0
ENSG00000004139	SARM1	23098.0
ENSG00000004142	POLDIP2	26073.0
ENSG00000004399	PLXND1	23129.0
ENSG00000004455	AK2	204.0
ENSG00000004468	CD38	952.0
ENSG00000004478	FKBP4	2288.0
ENSG00000004487	KDM1A	23028.0
ENSG00000004534	RBM6	10180.0
ENSG00000004660	CAMKK1	84254.0
ENSG00000004700	RECQL	5965.0
ENSG00000004766	VPS50	55610.0
ENSG00000004776	HSPB6	126393.0
ENSG00000004777	ARHGAP33	115703.0
ENSG00000004779	NDUFAB1	4706.0
ENSG00000004799	PDK4	5166.0
ENSG00000004809	SLC22A16	85413.0
ENSG00000004838	ZMYND10	51364.0
ENSG00000004846	ABCB5	340273.0
ENSG00000004848	ARX	170302.0
ENSG00000004864	SLC25A13	10165.0
ENSG00000004866	ST7	93655.0
ENSG00000004897	CDC27	996.0
ENSG00000004939	SLC4A1	6521.0
ENSG00000004948	CALCR	799.0
ENSG00000004961	HCCS	3052.0
ENSG00000004975	DVL2	1856.0
ENSG00000005001	PRSS22	64063.0
ENSG00000005007	UPF1	5976.0
ENSG00000005020	SKAP2	8935.0
ENSG00000005022	SLC25A5	292.0
ENSG00000005059	MCUB	55013.0
ENSG00000005073	HOXA11	3207.0
ENSG00000005075	POLR2J	5439.0
ENSG00000005100	DHX33	56919.0
ENSG00000005102	MEOX1	4222.0
ENSG00000005108	THSD7A	221981.0
ENSG00000005156	LIG3	3980.0
ENSG00000005175	RPAP3	79657.0
ENSG00000005187	ACSM3	6296.0
ENSG00000005189	REXO5	81691.0
ENSG00000005194	CIAPIN1	57019.0
ENSG00000005206	SPPL2B	56928.0
ENSG00000005238	ATOSB	80256.0
ENSG00000005243	COPZ2	51226.0
ENSG00000005249	PRKAR2B	5577.0
ENSG00000005302	MSL3	10943.0
ENSG00000005339	CREBBP	1387.0
ENSG00000005379	TSPOAP1	9256.0
ENSG00000005381	MPO	4353.0
ENSG00000005421	PON1	5444.0
ENSG00000005436	GCFC2	6936.0
ENSG00000005448	WDR54	84058.0
ENSG00000005469	CROT	54677.0
ENSG00000005471	ABCB4	5244.0
ENSG00000005483	KMT2E	55904.0
ENSG00000005486	RHBDD2	57414.0
ENSG00000005513	SOX8	30812.0
ENSG00000005700	IBTK	25998.0
ENSG00000005801	ZNF195	7748.0
ENSG00000005810	MYCBP2	23077.0
ENSG00000005812	FBXL3	26224.0
ENSG00000005844	ITGAL	3683.0
ENSG00000005882	PDK2	5164.0
ENSG00000005884	ITGA3	3675.0
ENSG00000005889	ZFX	7543.0
ENSG00000005893	LAMP2	3920.0
ENSG00000005961	ITGA2B	3674.0
ENSG00000005981	ASB4	51666.0
ENSG00000006007	GDE1	51573.0
ENSG00000006015	REX1BD	55049.0
ENSG00000006016	CRLF1	9244.0
ENSG00000006025	OSBPL7	114881.0
ENSG00000006042	TMEM98	26022.0
ENSG00000006047	YBX2	51087.0
ENSG00000006059	KRT33A	3883.0
ENSG00000006062	MAP3K14	9020.0
ENSG00000006071	ABCC8	6833.0
ENSG00000006116	CACNG3	10368.0
ENSG00000006118	TMEM132A	54972.0
ENSG00000006125	AP2B1	163.0
ENSG00000006128	TAC1	6863.0
ENSG00000006194	ZNF263	10127.0
ENSG00000006210	CX3CL1	6376.0
ENSG00000006282	SPATA20	64847.0
ENSG00000006283	CACNA1G	8913.0
ENSG00000006327	TNFRSF12A	51330.0
ENSG00000006377	DLX6	1750.0
ENSG00000006432	MAP3K9	4293.0
ENSG00000006451	RALA	5898.0
ENSG00000006453	BAIAP2L1	55971.0
ENSG00000006459	KDM7A	80853.0
ENSG00000006468	ETV1	2115.0
ENSG00000006530	AGK	55750.0
ENSG00000006534	ALDH3B1	221.0
ENSG00000006555	TTC22	55001.0
ENSG00000006576	PHTF2	57157.0
