ensembl	gene_name	entrezgene	protein	busco
ENSG00000276345			ENSP00000478035	191359at9347
ENSG00000273554			ENSP00000480079	61136at9347
ENSG00000288499	FAM20C	56975.0	ENSP00000499851	76511at9347
ENSG00000288260			ENSP00000499933	195765at9347
ENSG00000288243	STING1	340061.0	ENSP00000500793	106822at9347
ENSG00000288263	GRK1	6011.0	ENSP00000499886	65210at9347
ENSG00000291426	TOLLIP	54472.0	ENSP00000516890	163156at9347
ENSG00000291431	DUSP8	1850.0	ENSP00000516909	91769at9347
ENSG00000291442	MOB2	81532.0	ENSP00000516915	162292at9347
ENSG00000285070	ADIPOR2	79602.0	ENSP00000495699	100927at9347
ENSG00000285383	LRTM2	654429.0	ENSP00000496490	144824at9347
ENSG00000284850	DCP1B	196513.0	ENSP00000494635	76275at9347
ENSG00000092377	TBL1Y	90665.0	ENSP00000328879	72839at9347
ENSG00000281230	SERTAD4	56256.0	ENSP00000486369	131405at9347
ENSG00000280680	HHAT	55733.0	ENSP00000487400	91034at9347
ENSG00000099715	PCDH11Y	83259.0	ENSP00000330552	15329at9347
ENSG00000284765	CARMIL3	90668.0	ENSP00000493710	14853at9347
ENSG00000285221	CPNE6	9362.0	ENSP00000494138	62074at9347
ENSG00000285493	NRL	4901.0	ENSP00000495627	175234at9347
ENSG00000284796	DCAF11	80344.0	ENSP00000494282	71517at9347
ENSG00000285321	FITM1	161247.0	ENSP00000493961	155903at9347
ENSG00000284916	PSME1	5720.0	ENSP00000495095	168237at9347
ENSG00000285377	EMC9	51016.0	ENSP00000494976	134935at9347
ENSG00000284889	PSME2	5721.0	ENSP00000494758	160574at9347
ENSG00000285152	RNF31	55072.0	ENSP00000496609	21119at9347
ENSG00000285048	IRF9	10379.0	ENSP00000494792	124338at9347
ENSG00000285007	REC8	9985.0	ENSP00000495458	96425at9347
ENSG00000285248	IPO4	79711.0	ENSP00000494795	34898at9347
ENSG00000285140	TSSK4	283629.0	ENSP00000496710	126254at9347
ENSG00000285246	NEDD8	4738.0	ENSP00000496420	202435at9347
ENSG00000284752	GMPR2	51292.0	ENSP00000495863	114474at9347
ENSG00000284915	TINF2	26277.0	ENSP00000495019	112306at9347
ENSG00000285348	TGM1	7051.0	ENSP00000493587	36812at9347
ENSG00000285193	RABGGTA	5875.0	ENSP00000494636	67548at9347
ENSG00000284868	DHRS1	115817.0	ENSP00000496132	140524at9347
ENSG00000285326	NOP9	161424.0	ENSP00000495668	78171at9347
ENSG00000285199	CIDEB	27141.0	ENSP00000495235	178640at9347
ENSG00000285203	LTB4R2	56413.0	ENSP00000496382	173236at9347
ENSG00000285456	LTB4R	1241.0	ENSP00000495466	159703at9347
ENSG00000292366	VAMP7	6845.0	ENSP00000518622	184319at9347
ENSG00000292372	WASH6P		ENSP00000518618	113938at9347
ENSG00000292373	IL9R	3581.0	ENSP00000518617	147260at9347
ENSG00000285379	RIPK3	11035.0	ENSP00000495490	137884at9347
ENSG00000285485	NFATC4	4776.0	ENSP00000493885	49278at9347
ENSG00000281320	DYRK1B	9149.0	ENSP00000486377	73941at9347
ENSG00000281221	PSMC4	5704.0	ENSP00000487367	103717at9347
ENSG00000281123	FCGBP	8857.0	ENSP00000487490	201at9347
ENSG00000284984	RHOU	58480.0	ENSP00000494673	177913at9347
ENSG00000281022	MED22	6837.0	ENSP00000487580	182982at9347
ENSG00000281024	SURF2	6835.0	ENSP00000487370	167460at9347
ENSG00000280951	SURF4	6836.0	ENSP00000486393	157625at9347
ENSG00000281245	STKLD1	169436.0	ENSP00000486786	75924at9347
ENSG00000280706	REXO4	57109.0	ENSP00000486065	154723at9347
ENSG00000281244	ADAMTS13	11093.0	ENSP00000486201	16124at9347
ENSG00000280479	CACFD1	11094.0	ENSP00000485922	178194at9347
ENSG00000281165	SLC2A6	11182.0	ENSP00000487067	93752at9347
ENSG00000291483	DUSP11	8446.0	ENSP00000516943	136830at9347
ENSG00000291465	GPR20	2843.0	ENSP00000516924	126637at9347
ENSG00000283781	TNK1	8711.0	ENSP00000491712	71031at9347
ENSG00000284009	PLSCR3	57048.0	ENSP00000492026	146488at9347
ENSG00000283771	TMEM256	254863.0	ENSP00000491711	201324at9347
ENSG00000284598	SPEM1	374768.0	ENSP00000492561	164105at9347
ENSG00000284228	TMEM102	284114.0	ENSP00000491063	101747at9347
ENSG00000283903	FGF11	2256.0	ENSP00000491684	157212at9347
ENSG00000283946	CHRNB1	1140.0	ENSP00000492221	88503at9347
ENSG00000283868	ZBTB4	57659.0	ENSP00000492616	60209at9347
ENSG00000284832	POLR2A	5430.0	ENSP00000494840	7042at9347
ENSG00000285226	PAK1IP1	55003.0	ENSP00000496482	116915at9347
ENSG00000285222	GCNT2	2651.0	ENSP00000494927	102545at9347
ENSG00000280610	KIF15	56992.0	ENSP00000486004	17457at9347
ENSG00000154646	TMPRSS15	5651.0	ENSP00000284885	29456at9347
ENSG00000283068	IBTK	25998.0	ENSP00000489389	12447at9347
ENSG00000283085	TPBG	7162.0	ENSP00000489143	117163at9347
ENSG00000154639	CXADR	1525.0	ENSP00000284878	134281at9347
ENSG00000102699	PARP4	143.0	ENSP00000371419	11108at9347
ENSG00000027001	MIPEP	4285.0	ENSP00000371607	48353at9347
ENSG00000142207	URB1	9875.0	ENSP00000372199	3551at9347
ENSG00000154721	JAM2	58494.0	ENSP00000383376	158976at9347
ENSG00000280908	PADI4	23569.0	ENSP00000487021	62170at9347
ENSG00000280949	PADI6	353238.0	ENSP00000485805	54940at9347
ENSG00000281540	RCC2	55920.0	ENSP00000486447	83681at9347
ENSG00000291501	TRIM71	131405.0	ENSP00000516963	38811at9347
ENSG00000291502	CNOT10	25904.0	ENSP00000516964	35387at9347
ENSG00000132952	USPL1	10208.0	ENSP00000255304	27966at9347
ENSG00000166265	CYYR1	116159.0	ENSP00000299340	199019at9347
ENSG00000188694	KRTAP24-1	643803.0	ENSP00000339238	175082at9347
ENSG00000198743	SLC5A3	6526.0	ENSP00000370543	47488at9347
ENSG00000159259	CHAF1B	8208.0	ENSP00000315700	72066at9347
ENSG00000288445	HPS5	11234.0	ENSP00000499956	22620at9347
ENSG00000288114	GTF2H1	2965.0	ENSP00000500178	68890at9347
ENSG00000288485	ELP5	23587.0	ENSP00000500574	158667at9347
ENSG00000288292	CLDN7	1366.0	ENSP00000500298	176720at9347
ENSG00000288504	YBX2	51087.0	ENSP00000499890	184108at9347
ENSG00000288325	GPS2	2874.0	ENSP00000500563	154580at9347
ENSG00000165475	CRYL1	51084.0	ENSP00000298248	144394at9347
ENSG00000156304	SCAF4	57466.0	ENSP00000286835	61703at9347
ENSG00000288301	NEURL4	84461.0	ENSP00000500667	9515at9347
ENSG00000288169	ACAP1	9744.0	ENSP00000499859	51026at9347
ENSG00000288399	KCTD11	147040.0	ENSP00000500224	146148at9347
ENSG00000288511	TMEM95	339168.0	ENSP00000500075	186420at9347
ENSG00000288401	CTTN	2017.0	ENSP00000500927	75440at9347
ENSG00000102547	CAB39L	81617.0	ENSP00000348113	120617at9347
ENSG00000291505	CCDC40	55036.0	ENSP00000516972	27083at9347
ENSG00000284900	KBTBD4	55709.0	ENSP00000495324	65108at9347
