ensembl	gene_name	entrez	protein	busco
ENSG00000277196			ENSP00000481127	74375at40674
ENSG00000291442	MOB2	81532.0	ENSP00000518169	169807at40674
ENSG00000284832	POLR2A	5430.0	ENSP00000494840	7329at40674
ENSG00000154646	TMPRSS15	5651.0	ENSP00000284885	30747at40674
ENSG00000154639	CXADR	1525.0	ENSP00000284878	155425at40674
ENSG00000102699	PARP4	143.0	ENSP00000371419	11563at40674
ENSG00000027001	MIPEP	4285.0	ENSP00000371607	50497at40674
ENSG00000142207	URB1	9875.0	ENSP00000372199	3681at40674
ENSG00000154721	JAM2	58494.0	ENSP00000420419	158775at40674
ENSG00000132952	USPL1	10208.0	ENSP00000255304	29175at40674
ENSG00000166265	CYYR1	116159.0	ENSP00000498505	208445at40674
ENSG00000198743	SLC5A3	6526.0	ENSP00000370543	49594at40674
ENSG00000165475	CRYL1	51084.0	ENSP00000298248	150968at40674
ENSG00000156304	SCAF4	57466.0	ENSP00000286835	64456at40674
ENSG00000120675	DNAJC15	29103.0	ENSP00000368523	199249at40674
ENSG00000132975	GPR12	2835.0	ENSP00000370844	144864at40674
ENSG00000154654	NCAM2	4685.0	ENSP00000284894	41258at40674
ENSG00000132970	WASF3	10810.0	ENSP00000335055	110270at40674
ENSG00000288475	CASP8AP2	9994.0	ENSP00000518371	8243at40674
ENSG00000222018	C21orf140	102723451.0	ENSP00000386791	162990at40674
ENSG00000142149	HUNK	30811.0	ENSP00000270112	59623at40674
ENSG00000154642	C21orf91	54149.0	ENSP00000284881	143237at40674
ENSG00000133110	POSTN	10631.0	ENSP00000369071	39544at40674
ENSG00000159256	MORC3	23515.0	ENSP00000383333	34349at40674
ENSG00000159086	PAXBP1	94104.0	ENSP00000328992	49028at40674
ENSG00000205929	C21orf62	56245.0	ENSP00000418511	187172at40674
ENSG00000158270	COLEC12	81035.0	ENSP00000383115	70945at40674
ENSG00000141401	IMPA2	3613.0	ENSP00000269159	154661at40674
ENSG00000023516	AKAP11	11215.0	ENSP00000025301	8410at40674
ENSG00000204899	MZT1	440145.0	ENSP00000367049	213605at40674
ENSG00000120685	PROSER1	80209.0	ENSP00000332034	62640at40674
ENSG00000136122	BORA	79866.0	ENSP00000375082	92914at40674
ENSG00000197705	KLHL14	57565.0	ENSP00000352314	58709at40674
ENSG00000122034	GTF3A	2971.0	ENSP00000370532	122435at40674
ENSG00000281500	SLC37A4	2542.0	ENSP00000493469	99729at40674
ENSG00000154889	MPPE1	65258.0	ENSP00000465894	111122at40674
ENSG00000136155	SCEL	8796.0	ENSP00000302579	63563at40674
ENSG00000150893	FREM2	341640.0	ENSP00000280481	1316at40674
ENSG00000136158	SPRY2	10253.0	ENSP00000366306	157322at40674
ENSG00000102554	KLF5	688.0	ENSP00000366915	117216at40674
ENSG00000174015	CBY2	220082.0	ENSP00000309189	113527at40674
ENSG00000133119	RFC3	5983.0	ENSP00000369411	115404at40674
ENSG00000231824	AKAIN1	642597.0	ENSP00000399075	213887at40674
ENSG00000017797	RALBP1	10928.0	ENSP00000019317	92025at40674
ENSG00000241837	ATP5PO	539.0	ENSP00000290299	182080at40674
ENSG00000188811	NHLRC3	387921.0	ENSP00000368920	127742at40674
ENSG00000154645	CHODL	140578.0	ENSP00000299295	155312at40674
ENSG00000102837	OLFM4	10562.0	ENSP00000219022	93126at40674
ENSG00000160307	S100B	6285.0	ENSP00000291700	210836at40674
ENSG00000152242	ARK2N	147339.0	ENSP00000481626	130899at40674
ENSG00000157551	KCNJ15	3772.0	ENSP00000331698	116433at40674
ENSG00000154839	SKA1	220134.0	ENSP00000285116	181582at40674
ENSG00000205758	CRYZL1	9946.0	ENSP00000370966	122791at40674
ENSG00000156239	N6AMT1	29104.0	ENSP00000303584	181384at40674
ENSG00000284369	COG5	10466.0	ENSP00000491609	39200at40674
ENSG00000154736	ADAMTS5	11096.0	ENSP00000284987	37227at40674
ENSG00000157617	C2CD2	25966.0	ENSP00000369853	125082at40674
ENSG00000168234	TTC39C	125488.0	ENSP00000306598	69657at40674
ENSG00000118946	PCDH17	27253.0	ENSP00000367151	17205at40674
ENSG00000173276	ZBTB21	49854.0	ENSP00000308759	37851at40674
ENSG00000120688	WBP4	11193.0	ENSP00000368801	161716at40674
ENSG00000141622	ARK2C	494470.0	ENSP00000269439	126530at40674
ENSG00000139514	SLC7A1	6541.0	ENSP00000370128	68391at40674
ENSG00000177511	ST8SIA3	51046.0	ENSP00000320431	110614at40674
ENSG00000176641	RNF152	220441.0	ENSP00000316628	181179at40674
ENSG00000166510	CCDC68	80323.0	ENSP00000337209	156612at40674
ENSG00000088386	SLC15A1	6564.0	ENSP00000365686	48074at40674
ENSG00000136152	COG3	83548.0	ENSP00000258654	34787at40674
ENSG00000091164	TXNL1	9352.0	ENSP00000468165	135210at40674
ENSG00000136141	LRCH1	23143.0	ENSP00000374447	52118at40674
ENSG00000134030	CTIF	9811.0	ENSP00000256413	62644at40674
ENSG00000083520	DIS3	22894.0	ENSP00000366997	25810at40674
ENSG00000154719	MRPL39	54148.0	ENSP00000284967	129127at40674
ENSG00000155307	SAMSN1	64092.0	ENSP00000383411	161120at40674
ENSG00000141665	FBXO15	201456.0	ENSP00000393154	125556at40674
ENSG00000159263	SIM2	6493.0	ENSP00000290399	43901at40674
ENSG00000133103	COG6	57511.0	ENSP00000397441	59330at40674
ENSG00000183145	RIPPLY3	53820.0	ENSP00000331734	206817at40674
ENSG00000198089	SFI1	9814.0	ENSP00000383145	28053at40674
ENSG00000160208	RRP1B	23076.0	ENSP00000339145	83358at40674
ENSG00000102802	MEDAG	84935.0	ENSP00000369849	146405at40674
ENSG00000134871	COL4A2	1284.0	ENSP00000353654	25445at40674
ENSG00000160214	RRP1	8568.0	ENSP00000417464	152956at40674
ENSG00000166603	MC4R	4160.0	ENSP00000299766	139581at40674
ENSG00000184564	SLITRK6	84189.0	ENSP00000495507	40606at40674
ENSG00000166479	TMX3	54495.0	ENSP00000299608	114895at40674
ENSG00000241945	PWP2	5822.0	ENSP00000291576	31842at40674
ENSG00000175664	TEX26	122046.0	ENSP00000369840	186883at40674
ENSG00000081913	PHLPP1	23239.0	ENSP00000262719	19856at40674
