Species	Common name	Species Taxonomy ID	Taxonomic Lineage	Assembly name	NCBI accession / source	Intact	Partially intact	Uncertain loss	Lost	Missing	ref_human	ref_mouse
Acinonyx jubatus	cheetah	32536	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Felidae; Acinonychinae; Acinonyx	HLaciJub2	GCF_003709585.1	 17,108 	 315 	 526 	 316 	 165 	 18,540 	 18,555 
Acomys cahirinus	Egyptian spiny mouse	10068	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Deomyinae; Acomys	HLacoCah1	GCA_004027535.1	 15,200 	 1,550 	 453 	 604 	 623 	 17,656 	 20,823 
Acomys russatus	golden spiny mouse	60746	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Deomyinae; Acomys	HLacoRus1	GCA_903995435.1	 16,826 	 115 	 785 	 597 	 107 	 18,257 	 21,069 
Aeorestes cinereus	hoary bat	257879	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Vespertilionidae; Aeorestes	HLaeoCin1	GCA_011751065.1	 15,443 	 940 	 572 	 806 	 669 	 17,392 	 17,259 
Aepyceros melampus	impala	9897	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Aepycerotinae; Aepyceros	HLaepMel1	GCA_006408695.1	 5,253 	 1,278 	 8,813 	 2,178 	 908 	 15,814 	 15,530 
Ailuropoda melanoleuca	giant panda	9646	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Ursidae; Ailuropoda	HLailMel2	GCF_002007445.1	 15,747 	 961 	 1,053 	 382 	 287 	 18,359 	 18,491 
Ailurus fulgens	lesser panda	9649	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Ailuridae; Ailurus	HLailFul2	DNA Zoo Consortium	 15,230 	 1,612 	 569 	 294 	 725 	 17,994 	 17,923 
Alces alces	Eurasian elk	9852	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Odocoileinae; Alces	HLalcAlc1	GCA_007570765.1	 14,803 	 2,204 	 696 	 422 	 305 	 18,265 	 18,232 
Allactaga bullata	Gobi jerboa	1041416	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Dipodoidea; Dipodidae; Allactaginae; Allactaga	HLallBul1	GCA_004027895.1	 13,241 	 2,956 	 579 	 681 	 973 	 17,222 	 18,077 
Allenopithecus nigroviridis	Allen's swamp monkey	54135	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Allenopithecus	HLallNig1	DNA Zoo Consortium	 15,363 	 2,301 	 299 	 297 	 170 	 18,817 	 18,307 
