Species	Common name	Species Taxonomy ID	Taxonomic Lineage	Assembly name	NCBI accession / source	ref_chicken
Acanthisitta chloris	rifleman	57068	Aves; Neognathae; Passeriformes; Acanthisittidae; Acanthisitta	acaChl1	GCA_000695815.1	 12,156 
Acridotheres javanicus	Javan myna	451385	Aves; Neognathae; Passeriformes; Sturnidae; Acridotheres	HLacrJav1	GCA_002849675.1	 14,309 
Acrocephalus arundinaceus	great reed warbler	39621	Aves; Neognathae; Passeriformes; Sylvioidea; Sylviidae; Acrocephalinae; Acrocephalus	HLacrAru1	GCA_013398685.1	 13,475 
Aegithalos caudatus	Northern long-tailed tit	73327	Aves; Neognathae; Passeriformes; Sylvioidea; Aegithalidae; Aegithalos	HLaegCau1	GCA_013389925.1	 13,408 
Aegotheles bennettii	-	48278	Aves; Neognathae; Caprimulgimorphae; Caprimulgiformes; Aegothelidae; Aegotheles	HLaegBen1	GCA_013398125.1	 13,688 
Agapornis roseicollis	peach-faced lovebird	60468	Aves; Neognathae; Psittaciformes; Psittacidae; Agapornis	HLagaRos1	GCA_002631895.1	 14,503 
Agelaius phoeniceus	red-winged blackbird	39638	Aves; Neognathae; Passeriformes; Passeroidea; Icteridae; Agelaius	HLagePho1	GCA_013398535.1	 13,803 
Alauda arvensis	Eurasian skylark	88112	Aves; Neognathae; Passeriformes; Sylvioidea; Alaudidae; Alauda	HLalaArv1	GCA_902810485.1	 14,291 
Alaudala cheleensis	Asian short-toed lark	670337	Aves; Neognathae; Passeriformes; Sylvioidea; Alaudidae; Alaudala	HLalaChe1	GCA_013398995.1	 13,836 
Alopecoenas beccarii	Western bronze ground-dove	262131	Aves; Neognathae; Columbiformes; Columbidae; Alopecoenas	HLaloBec1	GCA_013399365.1	 14,955 
Amazona guildingii	-	175529	Aves; Neognathae; Psittaciformes; Psittacidae; Amazona	HLamaGui1	GCA_013399615.1	 14,367 
Amazona vittata	Puerto Rican parrot	241585	Aves; Neognathae; Psittaciformes; Psittacidae; Amazona	amaVit1	GCA_000332375.1	 12,158 
Anas platyrhynchos	mallard	8839	Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Anatinae; Anas	HLanaPla1	GCA_008746955.1	 15,381 
Anas platyrhynchos platyrhynchos	common mallard	8840	Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Anatinae; Anas; Anas platyrhynchos	HLanaPla2	GCA_002743455.1	 14,687 
Anhinga anhinga	American anhinga	56067	Aves; Neognathae; Pelecaniformes; Anhingidae; Anhinga	HLanhAnh1	GCA_013396435.1	 13,916 
Antrostomus carolinensis	chuck-will's-widow	279965	Aves; Neognathae; Caprimulgimorphae; Caprimulgiformes; Caprimulgidae; Antrostomus	capCar1	GCA_000700745.1	 12,360 
Aphelocoma coerulescens	scrub jay	39617	Aves; Neognathae; Passeriformes; Corvoidea; Corvidae; Aphelocoma	HLaphCoe1	GCA_013398375.1	 14,593 
Aptenodytes forsteri	emperor penguin	9233	Aves; Neognathae; Sphenisciformes; Spheniscidae; Aptenodytes	aptFor1	GCA_000699145.1	 14,003 
Aptenodytes patagonicus	king penguin	9234	Aves; Neognathae; Sphenisciformes; Spheniscidae; Aptenodytes	HLaptPat1	GCA_010087175.1	 13,961 
Apteryx haastii	Great spotted kiwi	8823	Aves; Palaeognathae; Apterygiformes; Apterygidae; Apteryx	HLaptHaa1	GCA_003342985.1	 14,683 
Apteryx mantelli mantelli	North Island brown kiwi	202946	Aves; Palaeognathae; Apterygiformes; Apterygidae; Apteryx; Apteryx mantelli	aptMan1	GCA_001039765.1	 13,498 
Apteryx owenii	little spotted kiwi	8824	Aves; Palaeognathae; Apterygiformes; Apterygidae; Apteryx	HLaptOwe1	GCA_003342965.1	 14,836 
Apteryx rowi	Okarito brown kiwi	308060	Aves; Palaeognathae; Apterygiformes; Apterygidae; Apteryx	HLaptRow1	GCA_003343035.1	 14,920 
Aquila chrysaetos chrysaetos	golden eagle	223781	Aves; Neognathae; Accipitriformes; Accipitridae; Accipitrinae; Aquila; Aquila chrysaetos	HLaquChrChr3	GCA_900496995.3	 15,798 
Ara ararauna	blue-and-yellow macaw	9226	Aves; Neognathae; Psittaciformes; Psittacidae; Ara	HLaraAra1	GCA_010014805.1	 13,210 
Ara chloropterus	red-and-green macaw	176013	Aves; Neognathae; Psittaciformes; Psittacidae; Ara	HLaraChl1	GCA_010014725.1	 9,065 
Ara macao	Scarlet macaw	176014	Aves; Neognathae; Psittaciformes; Psittacidae; Ara	araMac1	GCA_000400695.1	 11,401 
Ara militaris	military macaw	57237	Aves; Neognathae; Psittaciformes; Psittacidae; Ara	HLaraMil1	GCA_010015965.1	 9,393 
Aratinga weddellii	-	190661	Aves; Neognathae; Psittaciformes; Psittacidae; Aratinga	HLaraWed1	GCA_009867205.1	 13,638 
Ardeotis kori	-	89386	Aves; Neognathae; Gruiformes; Otididae; Ardeotis	HLardKor1	GCA_013396375.1	 13,847 
Aythya fuligula	tufted duck	219594	Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Aythyinae; Aythya	HLaytFul1	GCA_009819795.1	 16,125 
Baryphthengus martii	-	176943	Aves; Neognathae; Coraciiformes; Momotidae; Baryphthengus	HLbarMar1	GCA_013396935.1	 14,037 
Bombycilla garrulus	bohemian waxwing	125297	Aves; Neognathae; Passeriformes; Bombycillidae; Bombycilla	HLbomGar1	GCA_013400315.1	 13,690 
Brachypodius atriceps	black-headed bulbul	182895	Aves; Neognathae; Passeriformes; Sylvioidea; Pycnonotidae; Brachypodius	HLbraAtr1	GCA_013398615.1	 13,006 
Bubo bubo	Eurasian eagle-owl	30461	Aves; Neognathae; Strigiformes; Strigidae; Bubo	HLbubBub1	GCA_010303855.1	 13,771 
Burhinus bistriatus	-	240201	Aves; Neognathae; Charadriiformes; Burhinidae; Burhinus	HLburBis1	GCA_013397275.1	 14,452 
Burhinus oedicnemus	Eurasian thick-knee	85105	Aves; Neognathae; Charadriiformes; Burhinidae; Burhinus	HLburOed1	GCA_008921705.1	 14,290 
Buteo japonicus	-	224669	Aves; Neognathae; Accipitriformes; Accipitridae; Accipitrinae; Buteo	HLbutJap1	GCA_010312235.1	 14,259 
Cacatua leadbeateri	Major Mitchell's cockatoo	471713	Aves; Neognathae; Psittaciformes; Cacatuidae; Cacatua	HLcacLea1	GCA_010015045.1	 11,574 
