ensembl	gene_name	entrez	protein	busco
ENSG00000280627	SURF1	6834.0	ENSP00000487158	923657at2759
ENSG00000288114	GTF2H1	2965.0	ENSP00000500178	946128at2759
ENSG00000280495	TRAPPC4	51399.0	ENSP00000487467	1504863at2759
ENSG00000288146	NOC4L	79050.0	ENSP00000500901	891751at2759
ENSG00000241837	ATP5PO	539.0	ENSP00000290299	1178688at2759
ENSG00000136152	COG3	83548.0	ENSP00000258654	692986at2759
ENSG00000283883	VPS53	55275.0	ENSP00000492761	1379600at2759
ENSG00000133103	COG6	57511.0	ENSP00000403733	1370285at2759
ENSG00000241945	PWP2	5822.0	ENSP00000291576	290630at2759
ENSG00000100347	SAMM50	25813.0	ENSP00000345445	844748at2759
ENSG00000160193	WDR4	10785.0	ENSP00000328671	937275at2759
ENSG00000197563	PIGN	23556.0	ENSP00000492233	270107at2759
ENSG00000182858	ALG12	79087.0	ENSP00000333813	330169at2759
ENSG00000291938	TBL3	10607.0	ENSP00000517587	1112002at2759
ENSG00000101132	PFDN4	5203.0	ENSP00000360473	1459797at2759
ENSG00000120158	RCL1	10171.0	ENSP00000371169	1423847at2759
ENSG00000020426	MNAT1	4331.0	ENSP00000261245	1454155at2759
ENSG00000166200	COPS2	9318.0	ENSP00000373553	1108845at2759
ENSG00000136100	VPS36	51028.0	ENSP00000484968	981902at2759
ENSG00000139977	NAA30	122830.0	ENSP00000452521	1323575at2759
ENSG00000239857	GET4	51608.0	ENSP00000265857	1030907at2759
ENSG00000254995	STX16-NPEPL1		ENSP00000457522	1182451at2759
ENSG00000135040	NAA35	60560.0	ENSP00000354972	1370304at2759
ENSG00000100413	POLR3H	171568.0	ENSP00000347345	1430056at2759
ENSG00000100209	HSCB	150274.0	ENSP00000216027	1129824at2759
ENSG00000120697	ALG5	29880.0	ENSP00000505408	1107630at2759
ENSG00000093009	CDC45	8318.0	ENSP00000405726	1309031at2759
ENSG00000278494	RRN3	54700.0	ENSP00000480743	855834at2759
ENSG00000153339	TRAPPC8	22878.0	ENSP00000283351	625387at2759
ENSG00000253710	ALG11	440138.0	ENSP00000497184	1051021at2759
ENSG00000089289	IGBP1	3476.0	ENSP00000363661	1348942at2759
ENSG00000198301	SDAD1	55153.0	ENSP00000348596	426305at2759
ENSG00000274442	PRPF8	10594.0	ENSP00000479194	156083at2759
ENSG00000130177	CDC16	8881.0	ENSP00000353549	905026at2759
ENSG00000242372	EIF6	3692.0	ENSP00000502429	1157302at2759
ENSG00000155959	VBP1	7411.0	ENSP00000438694	1567796at2759
ENSG00000149100	EIF3M	10480.0	ENSP00000436049	679771at2759
ENSG00000170860	LSM3	27258.0	ENSP00000302160	1633672at2759
ENSG00000129932	DOHH	83475.0	ENSP00000500806	1441854at2759
ENSG00000100142	POLR2F	5435.0	ENSP00000475343	1488436at2759
ENSG00000244005	NFS1	9054.0	ENSP00000363205	664730at2759
ENSG00000187118	CMC1	152100.0	ENSP00000418348	1575179at2759
ENSG00000131153	GINS2	51659.0	ENSP00000253462	1382842at2759
ENSG00000009844	VTA1	51534.0	ENSP00000356602	1450538at2759
ENSG00000066651	TRMT11	60487.0	ENSP00000333934	924753at2759
ENSG00000109911	ELP4	26610.0	ENSP00000492152	973442at2759
ENSG00000005194	CIAPIN1	57019.0	ENSP00000377914	1588798at2759
ENSG00000108344	PSMD3	5709.0	ENSP00000264639	836599at2759
ENSG00000124207	CSE1L	1434.0	ENSP00000379495	1248958at2759
ENSG00000100029	PES1	23481.0	ENSP00000346725	777920at2759
ENSG00000167113	COQ4	51117.0	ENSP00000300452	1264469at2759
ENSG00000145782	ATG12	9140.0	ENSP00000425107	1525971at2759
ENSG00000110107	PRPF19	27339.0	ENSP00000227524	1049599at2759
ENSG00000171311	EXOSC1	51013.0	ENSP00000359939	1200489at2759
ENSG00000165195	PIGA	5277.0	ENSP00000442653	719531at2759
ENSG00000006715	VPS41	27072.0	ENSP00000309457	722805at2759
ENSG00000100603	SNW1	22938.0	ENSP00000261531	1455730at2759
ENSG00000107185	RGP1	9827.0	ENSP00000367318	450058at2759
ENSG00000164109	MAD2L1	4085.0	ENSP00000296509	1197019at2759
ENSG00000113522	RAD50	10111.0	ENSP00000368100	179362at2759
ENSG00000126581	BECN1	8678.0	ENSP00000355231	1085752at2759
ENSG00000292096	HAT1	8520.0	ENSP00000517832	708105at2759
ENSG00000057663	ATG5	9474.0	ENSP00000343313	457861at2759
ENSG00000058729	RIOK2	55781.0	ENSP00000283109	1010730at2759
ENSG00000166166	TRMT61A	115708.0	ENSP00000374399	1032689at2759
ENSG00000059691	GATB	5188.0	ENSP00000263985	898782at2759
ENSG00000106355	LSM5	23658.0	ENSP00000410758	1558822at2759
ENSG00000173418	NAA20	51126.0	ENSP00000335636	1355894at2759
ENSG00000101343	CRNKL1	51340.0	ENSP00000440733	355408at2759
ENSG00000115946	PNO1	56902.0	ENSP00000263657	1269649at2759
ENSG00000162384	CZIB	54987.0	ENSP00000294360	1398309at2759
ENSG00000276910	GTF2H2	728340.0	ENSP00000486014	768809at2759
ENSG00000279247	AK6	102157402.0	ENSP00000484679	1488235at2759
ENSG00000276618	RAD17	5884.0	ENSP00000482371	674169at2759
ENSG00000176248	ANAPC2	29882.0	ENSP00000314004	570797at2759
ENSG00000111581	NUP107	57122.0	ENSP00000229179	671846at2759
ENSG00000000419	DPM1	8813.0	ENSP00000360638	1445102at2759
ENSG00000047249	ATP6V1H	51606.0	ENSP00000347359	751335at2759
ENSG00000128463	EMC4	51234.0	ENSP00000267750	1623701at2759
ENSG00000159210	SNF8	11267.0	ENSP00000421380	869548at2759
ENSG00000173145	NOC3L	64318.0	ENSP00000360412	341721at2759
ENSG00000215305	VPS16	64601.0	ENSP00000369810	1258856at2759
ENSG00000166260	COX11	1353.0	ENSP00000459901	1287401at2759
ENSG00000144848	ATG3	64422.0	ENSP00000283290	1432328at2759
ENSG00000101868	POLA1	5422.0	ENSP00000368358	293315at2759
