ensembl	gene_name	entrez	protein	busco
ENSG00000278817			ENSP00000482514	393599at7742
ENSG00000276345			ENSP00000478035	414793at7742
ENSG00000291426	TOLLIP	54472.0	ENSP00000516890	346924at7742
ENSG00000285070	ADIPOR2	79602.0	ENSP00000495699	275603at7742
ENSG00000280680	HHAT	55733.0	ENSP00000487400	256936at7742
ENSG00000292358	GTPBP6	8225.0	ENSP00000518626	229590at7742
ENSG00000292366	VAMP7	6845.0	ENSP00000518622	395170at7742
ENSG00000292372	WASH6P		ENSP00000518618	264239at7742
ENSG00000281309	SURF6	6838.0	ENSP00000485909	349595at7742
ENSG00000280627	SURF1	6834.0	ENSP00000487158	298518at7742
ENSG00000281024	SURF2	6835.0	ENSP00000487370	394021at7742
ENSG00000280706	REXO4	57109.0	ENSP00000486065	278070at7742
ENSG00000281244	ADAMTS13	11093.0	ENSP00000486201	19367at7742
ENSG00000280479	CACFD1	11094.0	ENSP00000485922	381830at7742
ENSG00000281165	SLC2A6	11182.0	ENSP00000487067	175714at7742
ENSG00000283153	FRG1	2483.0	ENSP00000490541	342980at7742
ENSG00000291480	TPRKB	51002.0	ENSP00000516939	422090at7742
ENSG00000283868	ZBTB4	57659.0	ENSP00000492616	164538at7742
ENSG00000285226	PAK1IP1	55003.0	ENSP00000496482	242394at7742
ENSG00000285222	GCNT2	2651.0	ENSP00000494927	218109at7742
ENSG00000154646	TMPRSS15	5651.0	ENSP00000284885	68501at7742
ENSG00000283068	IBTK	25998.0	ENSP00000489389	59333at7742
ENSG00000154639	CXADR	1525.0	ENSP00000284878	285180at7742
ENSG00000142207	URB1	9875.0	ENSP00000372199	8995at7742
ENSG00000281540	RCC2	55920.0	ENSP00000486447	185648at7742
ENSG00000291502	CNOT10	25904.0	ENSP00000516964	109081at7742
ENSG00000159259	CHAF1B	8208.0	ENSP00000315700	210107at7742
ENSG00000288445	HPS5	11234.0	ENSP00000500370	42710at7742
ENSG00000288114	GTF2H1	2965.0	ENSP00000500178	174426at7742
ENSG00000288485	ELP5	23587.0	ENSP00000500574	336346at7742
ENSG00000165475	CRYL1	51084.0	ENSP00000298248	285488at7742
ENSG00000284900	KBTBD4	55709.0	ENSP00000495324	155526at7742
ENSG00000285182	FNBP4	23360.0	ENSP00000494562	172364at7742
ENSG00000288475	CASP8AP2	9994.0	ENSP00000518371	17789at7742
ENSG00000154642	C21orf91	54149.0	ENSP00000284881	354226at7742
ENSG00000291534	LTN1	26046.0	ENSP00000517021	13296at7742
ENSG00000023516	AKAP11	11215.0	ENSP00000025301	23996at7742
ENSG00000291523	RWDD2B	10069.0	ENSP00000516999	320027at7742
ENSG00000291533	CCT8	10694.0	ENSP00000517017	163788at7742
ENSG00000120685	PROSER1	80209.0	ENSP00000332034	150697at7742
ENSG00000291525	MAP3K7CL	56911.0	ENSP00000517001	420572at7742
ENSG00000083535	PIBF1	10464.0	ENSP00000317144	139653at7742
ENSG00000282825	CTIF	9811.0	ENSP00000489589	201359at7742
ENSG00000136122	BORA	79866.0	ENSP00000375082	190917at7742
ENSG00000197705	KLHL14	57565.0	ENSP00000352314	106894at7742
ENSG00000178127	NDUFV2	4729.0	ENSP00000327268	321359at7742
ENSG00000280975	CENATAC	338657.0	ENSP00000487197	361974at7742
ENSG00000280495	TRAPPC4	51399.0	ENSP00000487467	342096at7742
ENSG00000280616	VPS11	55823.0	ENSP00000485929	48975at7742
ENSG00000154889	MPPE1	65258.0	ENSP00000465894	268926at7742
ENSG00000282739	SLC25A26	115286.0	ENSP00000488659	393128at7742
ENSG00000120686	UFM1	51569.0	ENSP00000368970	434313at7742
ENSG00000134882	UBAC2	337867.0	ENSP00000383911	269163at7742
ENSG00000133119	RFC3	5983.0	ENSP00000369411	245611at7742
ENSG00000017797	RALBP1	10928.0	ENSP00000019317	194479at7742
ENSG00000288503	DDX51	317781.0	ENSP00000500171	229239at7742
ENSG00000288146	NOC4L	79050.0	ENSP00000500901	252398at7742
ENSG00000188811	NHLRC3	387921.0	ENSP00000368920	333716at7742
ENSG00000101745	ANKRD12	23253.0	ENSP00000262126	15083at7742
ENSG00000152242	ARK2N	147339.0	ENSP00000481626	369343at7742
ENSG00000154839	SKA1	220134.0	ENSP00000285116	334667at7742
ENSG00000205758	CRYZL1	9946.0	ENSP00000370966	275566at7742
ENSG00000101773	RBBP8	5932.0	ENSP00000323050	303207at7742
ENSG00000156239	N6AMT1	29104.0	ENSP00000303584	373808at7742
ENSG00000284369	COG5	10466.0	ENSP00000491329	78859at7742
ENSG00000284103	DUS4L	11062.0	ENSP00000491438	287339at7742
ENSG00000154736	ADAMTS5	11096.0	ENSP00000284987	74922at7742
ENSG00000157617	C2CD2	25966.0	ENSP00000329302	283522at7742
ENSG00000173276	ZBTB21	49854.0	ENSP00000308759	76254at7742
ENSG00000120688	WBP4	11193.0	ENSP00000368801	327391at7742
ENSG00000176641	RNF152	220441.0	ENSP00000316628	393288at7742
ENSG00000136152	COG3	83548.0	ENSP00000258654	70039at7742
ENSG00000091164	TXNL1	9352.0	ENSP00000217515	280287at7742
ENSG00000283883	VPS53	55275.0	ENSP00000492761	88636at7742
ENSG00000154719	MRPL39	54148.0	ENSP00000284967	324341at7742
ENSG00000283979	RFLNB	359845.0	ENSP00000491376	368948at7742
ENSG00000133103	COG6	57511.0	ENSP00000403733	149216at7742
ENSG00000134779	TPGS2	25941.0	ENSP00000465551	333591at7742
ENSG00000291729	RNF139	11236.0	ENSP00000517238	171530at7742
ENSG00000291730	TATDN1	83940.0	ENSP00000517241	277361at7742
ENSG00000184564	SLITRK6	84189.0	ENSP00000495507	78340at7742
ENSG00000160218	TRAPPC10	7109.0	ENSP00000291574	27364at7742
ENSG00000241945	PWP2	5822.0	ENSP00000291576	63939at7742
ENSG00000288478	NIPA1	123606.0	ENSP00000500344	373281at7742
ENSG00000100294	MCAT	27349.0	ENSP00000290429	340971at7742
ENSG00000141428	C18orf21	83608.0	ENSP00000465517	398403at7742
ENSG00000141956	PRDM15	63977.0	ENSP00000431410	41125at7742
ENSG00000141424	SLC39A6	25800.0	ENSP00000269187	199449at7742
ENSG00000291745	MED10	84246.0	ENSP00000517281	422495at7742
ENSG00000101327	PDYN	5173.0	ENSP00000217305	404952at7742
ENSG00000154059	IMPACT	55364.0	ENSP00000284202	343085at7742
ENSG00000100426	ZBED4	9889.0	ENSP00000216268	28954at7742
ENSG00000126216	TUBGCP3	10426.0	ENSP00000261965	60870at7742
ENSG00000075218	GTSE1	51512.0	ENSP00000415430	404307at7742
ENSG00000284776			ENSP00000482916	375593at7742
